model,quantize,Text Latency (μs),Text Peak Memory (Bytes),Image Latency (μs),Image Peak Memory (Bytes),Recall @ Top10
MobileCLIP-S1,,1287.0,131903488,1822.0,140718080,0.5553600000000001
MobileCLIP2-S0,,1331.0,131690496,1045.0,139870208,0.5512
MobileCLIP2-B,,1477.0,123527168,4488.5,126738432,0.612
MobileCLIP2-S2,,1335.0,141881344,2583.0,148508672,0.6004
MobileCLIP2-S3,,3236.5,116699136,5617.0,148742144,0.60912
MobileCLIP-S1,int16,2358.0,116338688,2844.0,147910656,0.533
MobileCLIP2-S0,int16,2377.5,116035584,1542.5,127598592,0.19096
MobileCLIP2-S2,int16,2364.0,115773440,4187.0,161587200,0.57228
MobileCLIP2-B,int16,2883.0,128765952,7893.5,133177344,0.0006
MobileCLIP2-S3,int16,4917.0,126660608,7884.5,139005952,0.60756
MobileCLIP-S1,int8,1356.0,114434048,893.0,166748160,0.00052
MobileCLIP2-S0,int8,1360.0,125685760,570.0,155574272,0.00036
MobileCLIP2-S2,int8,1361.0,142385152,1394.5,129880064,0.00024000000000000003
MobileCLIP2-B,int8,2018.0,127471616,5980.5,136159232,0.0004
MobileCLIP2-S3,int8,2545.0,131473408,2494.5,126464000,0.0005200000000000001
MobileCLIP2-S0,w8a16,1584.5,115941376,952.0,116178944,0.00028
MobileCLIP-S1,w8a16,1572.0,148680704,1622.5,147402752,0.5297200000000001
MobileCLIP2-S2,w8a16,1573.0,146604032,2344.5,149864448,0.00048000000000000007
MobileCLIP2-B,w8a16,2059.0,141742080,4978.5,147496960,0.0004
MobileCLIP2-S3,w8a16,2907.0,141037568,3596.0,171401216,0.58504
